Entry	Entry Name	Protein names	Gene Names	Organism	Organism (ID)	Length	Reviewed	Annotation	AlphaFoldDB	Taxonomic lineage	subphylum	class	order	family	genus	domain	group	anchor
A0A1B1YWJ2	A0A1B1YWJ2_9GAMM	DNA helicase RecQ (EC 5.6.2.4)	PG2T_13485	Immundisolibacter cernigliae	1810504	602	unreviewed	3.0	A0A1B1YWJ2;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Immundisolibacterales (order), Immundisolibacteraceae (family), Immundisolibacter (genus)		Gammaproteobacteria	Immundisolibacterales	Immundisolibacteraceae	Immundisolibacter	bac	bac	
A0A542DVM7	A0A542DVM7_9MICO	DNA 3'-5' helicase (EC 5.6.2.4)	FB458_0165	Lapillicoccus jejuensis	402171	764	unreviewed	3.0	A0A542DVM7;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Micrococcales (order), Intrasporangiaceae (family), Lapillicoccus (genus)		Actinomycetes	Micrococcales	Intrasporangiaceae	Lapillicoccus	bac	bac	
A0A5B9VXF0	A0A5B9VXF0_9BACT	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	recQ_1 OJF2_11160	Aquisphaera giovannonii	406548	1010	unreviewed	3.0	A0A5B9VXF0;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), PVC group (clade), Planctomycetota (phylum), Planctomycetia (class), Isosphaerales (order), Isosphaeraceae (family), Aquisphaera (genus)		Planctomycetia	Isosphaerales	Isosphaeraceae	Aquisphaera	bac	bac	
A0ABU2JER9	A0ABU2JER9_9ACTN	DNA 3'-5' helicase (EC 5.6.2.4)	RM423_16210	Jatrophihabitans lederbergiae	3075547	748	unreviewed	3.0		cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Jatrophihabitantales (order), Jatrophihabitantaceae (family), Jatrophihabitans (genus)		Actinomycetes	Jatrophihabitantales	Jatrophihabitantaceae	Jatrophihabitans	bac	bac	
A0A2P8E9G0	A0A2P8E9G0_9ACTN	DNA 3'-5' helicase (EC 5.6.2.4)	CLV30_103240	Haloactinopolyspora alba	648780	714	unreviewed	2.0	A0A2P8E9G0;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Jiangellales (order), Jiangellaceae (family), Haloactinopolyspora (genus)		Actinomycetes	Jiangellales	Jiangellaceae	Haloactinopolyspora	bac	bac	
C7R3L1	C7R3L1_JONDD	DNA 3'-5' helicase (EC 5.6.2.4)	Jden_1091	Jonesia denitrificans (strain ATCC 14870 / DSM 20603 / BCRC 15368 / CIP 55.134 / JCM 11481 / NBRC 15587 / NCTC 10816 / Prevot 55134) (Listeria denitrificans)	471856	788	unreviewed	3.0	C7R3L1;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Micrococcales (order), Jonesiaceae (family), Jonesia (genus), Jonesia denitrificans (species)		Actinomycetes	Micrococcales	Jonesiaceae	Jonesia	bac	bac	
A0A7W9FLY0	A0A7W9FLY0_9HYPH	DNA helicase RecQ (EC 5.6.2.4)	GGQ63_002154	Prosthecomicrobium pneumaticum	81895	607	unreviewed	3.0	A0A7W9FLY0;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Kaistiaceae (family), Prosthecomicrobium (genus)		Alphaproteobacteria	Hyphomicrobiales	Kaistiaceae	Prosthecomicrobium	bac	bac	
A0A2K9LLV7	A0A2K9LLV7_9GAMM	DNA helicase RecQ (EC 5.6.2.4)	recQ Kalk_13130	Ketobacter alkanivorans	1917421	600	unreviewed	3.0	A0A2K9LLV7;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Pseudomonadales (order), Ketobacteraceae (family), Ketobacter (genus)		Gammaproteobacteria	Pseudomonadales	Ketobacteraceae	Ketobacter	bac	bac	
A0A0M2R747	A0A0M2R747_9PROT	DNA helicase RecQ (EC 5.6.2.4)	WH95_16575	Kiloniella litopenaei	1549748	613	unreviewed	3.0	A0A0M2R747;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodospirillales (order), Kiloniellaceae (family), Kiloniella (genus)		Alphaproteobacteria	Rhodospirillales	Kiloniellaceae	Kiloniella	bac	bac	
A0A2S6IVA5	A0A2S6IVA5_9ACTN	DNA 3'-5' helicase (EC 5.6.2.4)	CLV92_102291	Kineococcus xinjiangensis	512762	728	unreviewed	3.0	A0A2S6IVA5;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Kineosporiales (order), Kineosporiaceae (family), Kineococcus (genus)		Actinomycetes	Kineosporiales	Kineosporiaceae	Kineococcus	bac	bac	
D0LUH4	D0LUH4_HALO1	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	Hoch_6833	Haliangium ochraceum (strain DSM 14365 / JCM 11303 / SMP-2)	502025	708	unreviewed	3.0	D0LUH4;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Myxococcota (phylum), Polyangia (subclass), Haliangiales (order), Kofleriaceae (family), Haliangium (genus), Haliangium ochraceum (species)			Haliangiales	Kofleriaceae	Haliangium	bac	bac	
A0A518B383	A0A518B383_9BACT	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	recQ Pan216_22580	Kolteria novifilia	2527975	820	unreviewed	3.0	A0A518B383;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), PVC group (clade), Planctomycetota (phylum), Planctomycetia (class), Kolteriales (order), Kolteriaceae (family), Kolteria (genus)		Planctomycetia	Kolteriales	Kolteriaceae	Kolteria	bac	bac	
A0A1G6UFB1	A0A1G6UFB1_9PROT	DNA helicase RecQ (EC 5.6.2.4)	SAMN04488071_0571	Kordiimonas lacus	637679	605	unreviewed	3.0	A0A1G6UFB1;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Kordiimonadales (order), Kordiimonadaceae (family), Kordiimonas (genus)		Alphaproteobacteria	Kordiimonadales	Kordiimonadaceae	Kordiimonas	bac	bac	
A0A4R8CKJ6	A0A4R8CKJ6_9ACTN	DNA helicase RecQ (EC 5.6.2.4)	EV653_1003	Kribbella pratensis	2512112	647	unreviewed	3.0	A0A4R8CKJ6;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Propionibacteriales (order), Kribbellaceae (family), Kribbella (genus)		Actinomycetes	Propionibacteriales	Kribbellaceae	Kribbella	bac	bac	
A0AAV5B1F1	A0AAV5B1F1_9ACTN	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	recQ ATOP_05480	Granulimonas faecalis	2894155	631	unreviewed	3.0	A0AAV5B1F1;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Coriobacteriia (class), Coriobacteriales (order), Kribbibacteriaceae (family), Granulimonas (genus)		Coriobacteriia	Coriobacteriales	Kribbibacteriaceae	Granulimonas	bac	bac	
D6U7T3	D6U7T3_KTERA	DNA helicase RecQ (EC 5.6.2.4)	Krac_0473	Ktedonobacter racemifer DSM 44963	485913	739	unreviewed	3.0	D6U7T3;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Chloroflexota (phylum), Ktedonobacteria (class), Ktedonobacterales (order), Ktedonobacteraceae (family), Ktedonobacter (genus), Ktedonobacter racemifer (species)		Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	Ktedonobacter	bac	bac	
A0A4P6K5I3	A0A4P6K5I3_KTERU	ATP-dependent DNA helicase RecQ (DNA 3'-5' helicase RecQ)	EPA93_02860	Ktedonosporobacter rubrisoli	2509675	531	unreviewed	2.0	A0A4P6K5I3;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Chloroflexota (phylum), Ktedonobacteria (class), Ktedonobacterales (order), Ktedonosporobacteraceae (family), Ktedonosporobacter (genus)		Ktedonobacteria	Ktedonobacterales	Ktedonosporobacteraceae	Ktedonosporobacter	bac	bac	
A0A212TC97	A0A212TC97_9MICO	DNA 3'-5' helicase (EC 5.6.2.4)	SAMN05445756_0948	Kytococcus aerolatus	592308	715	unreviewed	2.0	A0A212TC97;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Micrococcales (order), Kytococcaceae (family), Kytococcus (genus)		Actinomycetes	Micrococcales	Kytococcaceae	Kytococcus	bac	bac	
A0A0K1PX75	A0A0K1PX75_9BACT	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	AKJ09_04388	Labilithrix luteola	1391654	1264	unreviewed	3.0	A0A0K1PX75;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Myxococcota (phylum), Polyangia (subclass), Polyangiales (order), Labilitrichaceae (family), Labilithrix (genus)			Polyangiales	Labilitrichaceae	Labilithrix	bac	bac	
A0A1I0HCG4	A0A1I0HCG4_9FIRM	DNA helicase RecQ (EC 5.6.2.4)	SAMN05216313_11587	Enterocloster lavalensis	460384	886	unreviewed	3.0	A0A1I0HCG4;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Bacillota (phylum), Clostridia (class), Lachnospirales (order), Lachnospiraceae (family), Enterocloster (genus)		Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	bac	bac	
A0A5C5ZET5	A0A5C5ZET5_9BACT	DNA helicase RecQ (EC 5.6.2.4)	recQ Pla123a_06390	Posidoniimonas polymericola	2528002	745	unreviewed	3.0	A0A5C5ZET5;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), PVC group (clade), Planctomycetota (phylum), Planctomycetia (class), Pirellulales (order), Lacipirellulaceae (family), Posidoniimonas (genus)		Planctomycetia	Pirellulales	Lacipirellulaceae	Posidoniimonas	bac	bac	
A0A1Z5IB58	A0A1Z5IB58_9LACO	DNA helicase RecQ (EC 5.6.2.4)	recQ_1 IWT30_00942	Secundilactobacillus mixtipabuli	1435342	611	unreviewed	3.0	A0A1Z5IB58;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Lactobacillales (order), Lactobacillaceae (family), Secundilactobacillus (genus)		Bacilli	Lactobacillales	Lactobacillaceae	Secundilactobacillus	bac	bac	
A0ABT2N143	A0ABT2N143_9CYAN	DNA helicase RecQ (EC 5.6.2.4)	recQ NG792_01530	Laspinema olomoucense D3b	2953688	839	unreviewed	3.0		cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Oscillatoriophycideae (subclass), Oscillatoriales (order), Laspinemataceae (family), Laspinema (genus), Laspinema olomoucense (species)		Cyanophyceae	Oscillatoriales	Laspinemataceae	Laspinema	bac	bac	
A0A917DQX9	A0A917DQX9_9BACT	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	GCM10011514_25480	Emticicia aquatilis	1537369	793	unreviewed	3.0	A0A917DQX9;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Cytophagia (class), Cytophagales (order), Leadbetterellaceae (family), Emticicia (genus)		Cytophagia	Cytophagales	Leadbetterellaceae	Emticicia	bac	bac	
A0A847SA81	A0A847SA81_9NEIS	DNA helicase RecQ (EC 5.6.2.4)	recQ HF682_15860	Leeia aquatica	2725557	711	unreviewed	3.0	A0A847SA81;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Betaproteobacteria (class), Neisseriales (order), Leeiaceae (family), Leeia (genus)		Betaproteobacteria	Neisseriales	Leeiaceae	Leeia	bac	bac	
A0A222P3A2	A0A222P3A2_9GAMM	DNA helicase RecQ (EC 5.6.2.4)	recQ clem_08800	Legionella clemsonensis	1867846	639	unreviewed	3.0	A0A222P3A2;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Legionellales (order), Legionellaceae (family), Legionella (genus)		Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	bac	bac	
A0A0S7C321	A0A0S7C321_9BACT	DNA helicase RecQ (EC 5.6.2.4)	TBC1_111740	Lentimicrobium saccharophilum	1678841	731	unreviewed	3.0	A0A0S7C321;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Bacteroidia (class), Bacteroidales (order), Lentimicrobiaceae (family), Lentimicrobium (genus)		Bacteroidia	Bacteroidales	Lentimicrobiaceae	Lentimicrobium	bac	bac	
A6DR32	A6DR32_9BACT	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	LNTAR_07754	Lentisphaera araneosa HTCC2155	313628	770	unreviewed	3.0	A6DR32;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), PVC group (clade), Lentisphaerota (phylum), Lentisphaeria (class), Lentisphaerales (order), Lentisphaeraceae (family), Lentisphaera (genus), Lentisphaera araneosa (species)		Lentisphaeria	Lentisphaerales	Lentisphaeraceae	Lentisphaera	bac	bac	
A0A1Z4JK93	A0A1Z4JK93_LEPBY	DNA helicase RecQ (EC 5.6.2.4)	NIES2135_40200	Leptolyngbya boryana NIES-2135	1973484	793	unreviewed	3.0	A0A1Z4JK93;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Leptolyngbyales (order), Leptolyngbyaceae (family), Leptolyngbya group (no rank), Leptolyngbya (genus), Leptolyngbya boryana (species)		Cyanophyceae	Leptolyngbyales	Leptolyngbyaceae	Leptolyngbya	bac	bac	
N1VW30	N1VW30_9LEPT	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	LEP1GSC203_2988	Leptospira terpstrae serovar Hualin str. LT 11-33 = ATCC 700639	1257025	636	unreviewed	3.0	N1VW30;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Spirochaetota (phylum), Spirochaetia (class), Leptospirales (order), Leptospiraceae (family), Leptospira (genus), Leptospira terpstrae (species), Leptospira terpstrae serovar Hualin (no rank)		Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	bac	bac	
D1AI20	D1AI20_SEBTE	DNA helicase RecQ (EC 5.6.2.4)	Sterm_1545	Sebaldella termitidis (strain ATCC 33386 / NCTC 11300)	526218	592	unreviewed	3.0	D1AI20;	cellular organisms (no rank), Bacteria (domain), Fusobacteriati (kingdom), Fusobacteriota (phylum), Fusobacteriia (class), Fusobacteriales (order), Leptotrichiaceae (family), Sebaldella (genus), Sebaldella termitidis (species)		Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sebaldella	bac	bac	
A0A2S6I9X4	A0A2S6I9X4_9BACT	DNA helicase RecQ (EC 5.6.2.4)	CLV84_1269	Neolewinella xylanilytica	1514080	739	unreviewed	3.0	A0A2S6I9X4;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Saprospiria (class), Saprospirales (order), Lewinellaceae (family), Neolewinella (genus)		Saprospiria	Saprospirales	Lewinellaceae	Neolewinella	bac	bac	
A0AA41YVL1	A0AA41YVL1_9HYPH	DNA helicase RecQ (EC 5.6.2.4)	recQ M8523_07900	Lichenifustis flavocetrariae	2949735	602	unreviewed	3.0	A0AA41YVL1;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Lichenihabitantaceae (family), Lichenifustis (genus)		Alphaproteobacteria	Hyphomicrobiales	Lichenihabitantaceae	Lichenifustis	bac	bac	
A0A0K2SM57	A0A0K2SM57_LIMPI	DNA helicase RecQ (EC 5.6.2.4)	LIP_2350	Limnochorda pilosa	1555112	591	unreviewed	3.0	A0A0K2SM57;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Bacillota (phylum), Limnochordia (class), Limnochordales (order), Limnochordaceae (family), Limnochorda (genus)		Limnochordia	Limnochordales	Limnochordaceae	Limnochorda	bac	bac	
A0A0J8J7J7	A0A0J8J7J7_9LIST	DNA helicase RecQ (EC 5.6.2.4)	X560_0903	Listeria fleischmannii 1991	1430899	594	unreviewed	3.0	A0A0J8J7J7;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Bacillales (order), Listeriaceae (family), Listeria (genus), Listeria fleischmannii (species)		Bacilli	Bacillales	Listeriaceae	Listeria	bac	bac	
A0A841GVX0	A0A841GVX0_9BACT	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	HNQ61_001625	Longimicrobium terrae	1639882	712	unreviewed	3.0	A0A841GVX0;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), FCB group (clade), Gemmatimonadota (phylum), Longimicrobiia (class), Longimicrobiales (order), Longimicrobiaceae (family), Longimicrobium (genus)		Longimicrobiia	Longimicrobiales	Longimicrobiaceae	Longimicrobium	bac	bac	
A0A328C4V4	A0A328C4V4_9DELT	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	DL240_17320	Lujinxingia litoralis	2211119	773	unreviewed	3.0	A0A328C4V4;	cellular organisms (no rank), Bacteria (domain), delta/epsilon subdivisions (clade), Deltaproteobacteria (class), Bradymonadales (order), Lujinxingiaceae (family), Lujinxingia (genus)		Deltaproteobacteria	Bradymonadales	Lujinxingiaceae	Lujinxingia	bac	bac	
A0A8J7B7I7	A0A8J7B7I7_9CYAN	DNA helicase RecQ (EC 5.6.2.4)	recQ IQ249_05820	Lusitaniella coriacea LEGE 07157	945747	709	unreviewed	3.0	A0A8J7B7I7;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Spirulinales (order), Lusitaniellaceae (family), Lusitaniella (genus), Lusitaniella coriacea (species)		Cyanophyceae	Spirulinales	Lusitaniellaceae	Lusitaniella	bac	bac	
A0A5C6VAD8	A0A5C6VAD8_9FLAO	DNA helicase RecQ (EC 5.6.2.4)	recQ FRX97_04505	Luteibaculum oceani	1294296	727	unreviewed	3.0	A0A5C6VAD8;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Flavobacteriia (class), Flavobacteriales (order), Luteibaculaceae (family), Luteibaculum (genus)		Flavobacteriia	Flavobacteriales	Luteibaculaceae	Luteibaculum	bac	bac	
A0ABT1NAS2	A0ABT1NAS2_9FIRM	DNA helicase RecQ (EC 5.6.2.4)	recQ LJD61_02185	Lutispora saccharofermentans	3024236	606	unreviewed	3.0		cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Bacillota (phylum), Clostridia (class), Lutisporales (order), Lutisporaceae (family), Lutispora (genus)		Clostridia	Lutisporales	Lutisporaceae	Lutispora	bac	bac	
A0A7G9SLR6	A0A7G9SLR6_9GAMM	DNA helicase RecQ (EC 5.6.2.4)	recQ H9L16_08525	Thermomonas carbonis	1463158	882	unreviewed	3.0	A0A7G9SLR6;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Lysobacterales (order), Lysobacteraceae (family), Thermomonas (genus)		Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Thermomonas	bac	bac	
A0A1Y2K045	A0A1Y2K045_9PROT	DNA helicase RecQ (EC 5.6.2.4)	MAIT1_00539	Magnetofaba australis IT-1	1434232	623	unreviewed	3.0	A0A1Y2K045;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Magnetococcia (class), Magnetococcales (order), Magnetococcaceae (family), Magnetofaba (genus), Magnetofaba australis (species)		Magnetococcia	Magnetococcales	Magnetococcaceae	Magnetofaba	bac	bac	
Q2VZB7	Q2VZB7_PARM1	DNA helicase RecQ (EC 5.6.2.4)	amb4254	Paramagnetospirillum magneticum (strain ATCC 700264 / AMB-1) (Magnetospirillum magneticum)	342108	620	unreviewed	3.0	Q2VZB7;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodospirillales (order), Magnetospirillaceae (family), Paramagnetospirillum (genus), Paramagnetospirillum magneticum (species)		Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae	Paramagnetospirillum	bac	bac	
A0A1E5Q5E1	A0A1E5Q5E1_9PROT	DNA helicase RecQ (EC 5.6.2.4)	BEN30_14750	Magnetovibrio blakemorei	28181	601	unreviewed	3.0	A0A1E5Q5E1;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodospirillales (order), Magnetovibrionaceae (family), Magnetovibrio (genus)		Alphaproteobacteria	Rhodospirillales	Magnetovibrionaceae	Magnetovibrio	bac	bac	
F4A248	F4A248_MAHA5	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	Mahau_2011	Mahella australiensis (strain DSM 15567 / CIP 107919 / 50-1 BON)	697281	491	unreviewed	2.0	F4A248;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Bacillota (phylum), Clostridia (class), Mahellales (order), Mahellaceae (family), Mahella (genus), Mahella australiensis (species)		Clostridia	Mahellales	Mahellaceae	Mahella	bac	bac	
A0A4D7JNS5	A0A4D7JNS5_9BACT	DNA helicase RecQ (EC 5.6.2.4)	recQ DCC35_17825	Mangrovivirga cuniculi	2715131	732	unreviewed	3.0	A0A4D7JNS5;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Cytophagia (class), Cytophagales (order), Mangrovivirgaceae (family), Mangrovivirga (genus)		Cytophagia	Cytophagales	Mangrovivirgaceae	Mangrovivirga	bac	bac	
Q0AQ55	Q0AQ55_MARMM	DNA helicase RecQ (EC 5.6.2.4)	Mmar10_1290	Maricaulis maris (strain MCS10) (Caulobacter maris)	394221	616	unreviewed	3.0	Q0AQ55;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Maricaulales (order), Maricaulaceae (family), Maricaulis (genus), Maricaulis maris (species)		Alphaproteobacteria	Maricaulales	Maricaulaceae	Maricaulis	bac	bac	
A0A4R6XG62	A0A4R6XG62_9GAMM	DNA helicase RecQ (EC 5.6.2.4)	C8D91_2279	Marinicella litoralis	644220	704	unreviewed	3.0	A0A4R6XG62;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Lysobacterales (order), Marinicellaceae (family), Marinicella (genus)		Gammaproteobacteria	Lysobacterales	Marinicellaceae	Marinicella	bac	bac	
A0A1Y1CHA2	A0A1Y1CHA2_9BACT	DNA helicase RecQ (EC 5.6.2.4)	ALGA_1320	Labilibaculum antarcticum	1717717	725	unreviewed	3.0	A0A1Y1CHA2;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Bacteroidia (class), Marinilabiliales (order), Marinifilaceae (family), Labilibaculum (genus)		Bacteroidia	Marinilabiliales	Marinifilaceae	Labilibaculum	bac	bac	
A0AAE3MCJ9	A0AAE3MCJ9_9BACT	DNA helicase RecQ (EC 5.6.2.4)	recQ OM074_05795	Plebeiibacterium marinum	2992111	751	unreviewed	3.0	A0AAE3MCJ9;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Bacteroidia (class), Marinilabiliales (order), Marinilabiliaceae (family), Plebeiibacterium (genus)		Bacteroidia	Marinilabiliales	Marinilabiliaceae	Plebeiibacterium	bac	bac	
A0A1I6GRU5	A0A1I6GRU5_9GAMM	DNA helicase RecQ (EC 5.6.2.4)	SAMN05216203_0415	Marinobacter daqiaonensis	650891	657	unreviewed	3.0	A0A1I6GRU5;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Pseudomonadales (order), Marinobacteraceae (family), Marinobacter (genus)		Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	Marinobacter	bac	bac	
Q0EW04	Q0EW04_9PROT	DNA helicase RecQ (EC 5.6.2.4)	SPV1_12977	Mariprofundus ferrooxydans PV-1	314345	724	unreviewed	3.0	Q0EW04;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Candidatius Mariprofundia (class), Mariprofundales (order), Mariprofundaceae (family), Mariprofundus (genus), Mariprofundus ferrooxydans (species)		Candidatius Mariprofundia	Mariprofundales	Mariprofundaceae	Mariprofundus	bac	bac	
E4TL45	E4TL45_MARTH	DNA helicase RecQ (EC 5.6.2.4)	Ftrac_3348	Marivirga tractuosa (strain ATCC 23168 / DSM 4126 / NBRC 15989 / NCIMB 1408 / VKM B-1430 / H-43) (Microscilla tractuosa) (Flexibacter tractuosus)	643867	725	unreviewed	3.0	E4TL45;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Cytophagia (class), Cytophagales (order), Marivirgaceae (family), Marivirga (genus), Marivirga tractuosa (species)		Cytophagia	Cytophagales	Marivirgaceae	Marivirga	bac	bac	
I7A5I6	I7A5I6_MELRP	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	MROS_1924	Melioribacter roseus (strain DSM 23840 / JCM 17771 / VKM B-2668 / P3M-2)	1191523	847	unreviewed	2.0	I7A5I6;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Ignavibacteriota (phylum), Ignavibacteria (class), Ignavibacteriales (order), Melioribacteraceae (family), Melioribacter (genus), Melioribacter roseus (species)		Ignavibacteria	Ignavibacteriales	Melioribacteraceae	Melioribacter	bac	bac	
P73421	RECQ_SYNY3	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	recQ slr1536	Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa)	1111708	478	reviewed	4.0	P73421;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Synechococcales (order), Merismopediaceae (family), Synechocystis (genus), unclassified Synechocystis (no rank), Synechocystis sp. PCC 6803 (species)		Cyanophyceae	Synechococcales	Merismopediaceae	Synechocystis	bac	bac	
