tip	accession	source	core_plddt
A0ABY6US88_Clonostachys	A0ABY6US88	AF2_ColabFold	85.9
A7EDF0_Sclerotinia	A7EDF0	AFDB	86.88
A7TJ00_Vanderwaltozyma	A7TJ00	AFDB	87.65
B3LSF2_Saccharomyces	B3LSF2	AFDB	88.65
B8LYE9_Talaromyces	B8LYE9	AFDB	86.57
B9WMD7_Candida	B9WMD7	AFDB	86.72
C1GI25_Paracoccidioides	C1GI25	AFDB	88.61
C5E0W3_Zygosaccharomyces	C5E0W3	AFDB	87.68
E9DY51_Metarhizium	E9DY51	AFDB	87.86
F0XHJ8_Leptographium	F0XHJ8	AFDB	84.04
F2T115_Trichophyton	F2T115	AFDB	84.76
G0W9L4_Naumovozyma	G0W9L4	AFDB	88.03
G3JM88_Cordyceps	G3JM88	AFDB	77.92
G8JWH4_Eremothecium	G8JWH4	AFDB	89.27
G8ZVF0_Torulaspora	G8ZVF0	AFDB	86.86
H6BKX2_Exophiala	H6BKX2	AFDB	88.84
J7S460_Huiozyma	J7S460	AFDB	87.08
K1WPA9_Drepanopeziza	K1WPA9	AFDB	87.09
L2G0F7_Colletotrichum	L2G0F7	AFDB	88.29
Q4WVU7_Aspergillus	Q4WVU7	AFDB	88.67
Q6FPW0_Nakaseomyces	Q6FPW0	AFDB	86.87
Q756Y6_Eremothecium	Q756Y6	AFDB	86.74
A0A084APH7_Stachybotrys	A0A084APH7	AFDB	87.66
A0A084GDF4_Scedosporium	A0A084GDF4	AF2_ColabFold	80.98
A0A084QU30_Stachybotrys	A0A084QU30	AFDB	87.46
A0A0B1PEI0_Erysiphe	A0A0B1PEI0	AFDB	87.67
A0A0B2X4N9_Metarhizium	A0A0B2X4N9	AFDB	87.92
A0A0C4EG66_Magnaporthiopsis	A0A0C4EG66	AFDB	87.92
A0A0D1ZHZ9_Exophiala	A0A0D1ZHZ9	AFDB	89.79
A0A0D2J3X0_Fonsecaea	A0A0D2J3X0	AFDB	90.2
A0A0D8JVN0_Coccidioides	A0A0D8JVN0	AFDB	88.38
A0A0F7ZTC5_Hirsutella	A0A0F7ZTC5	AFDB	88.13
A0A0F8DHR2_Ceratocystis	A0A0F8DHR2	AFDB	89.62
A0A0G2I193_Diaporthe	A0A0G2I193	AFDB	88.01
A0A0N1NVW2_Cyphellophora	A0A0N1NVW2	AFDB	88.72
A0A101MLQ9_Penicillium	A0A101MLQ9	AFDB	87.42
A0A109UW77_Eremothecium	A0A109UW77	AFDB	90.59
A0A135SIN3_Colletotrichum	A0A135SIN3	AFDB	88.1
A0A161HKE9_Sugiyamaella	A0A161HKE9	AFDB	87.36
A0A167F3J3_Metarhizium	A0A167F3J3	AFDB	87.98
A0A167H2R5_Beauveria	A0A167H2R5	AFDB	87.86
A0A167TDW9_Niveomyces	A0A167TDW9	AFDB	88.35
A0A175VPZ7_Madurella	A0A175VPZ7	AFDB	89.5
A0A178ZSD6_Fonsecaea	A0A178ZSD6	AFDB	90.34
A0A179FR29_Pochonia	A0A179FR29	AFDB	88.01
A0A4P6XSZ4_Metschnikowia	A0A4P6XSZ4	AFDB	88.75
A0A4R8QEN4_Colletotrichum	A0A4R8QEN4	AFDB	87.77
A0A4S8RIP6_Botrytis	A0A4S8RIP6	AFDB	86.92
A0A4V3HXL6_Colletotrichum	A0A4V3HXL6	AFDB	88.67
A0A4V3UMW7_Aspergillus	A0A4V3UMW7	AFDB	84.88
A0A4Z1EL52_Botrytis	A0A4Z1EL52	AFDB	86.41
A0A4Z1L1J9_Botrytis	A0A4Z1L1J9	AFDB	86.87
A0A5M9JJ09_Monilinia	A0A5M9JJ09	AFDB	82.19
A0A5N5DHG1_Lasiodiplodia	A0A5N5DHG1	AFDB	89.04
A0A7D5Z7W4_Metarhizium	A0A7D5Z7W4	AFDB	87.76
A0A7H9AW24_Zygotorulaspora	A0A7H9AW24	AFDB	85.85
A0A7H9B3W0_Zygotorulaspora	A0A7H9B3W0	AFDB	87.89
A0A8H4NYZ8_Fusarium	A0A8H4NYZ8	AFDB	88.35
A0A8H4PTP3_Ophiocordyceps	A0A8H4PTP3	AFDB	87.21
A0A8H4T3M7_Fusarium	A0A8H4T3M7	AFDB	88.15
A0A8H5N1Z6_Fusarium	A0A8H5N1Z6	AFDB	88.36
A0A8H5UMM3_Fusarium	A0A8H5UMM3	AFDB	88.29
A0A8H5V583_Fusarium	A0A8H5V583	AFDB	87.96
A0A8H5X4H1_Fusarium	A0A8H5X4H1	AFDB	87.47
A0A8H8D9N3_Candida	A0A8H8D9N3	AFDB	87.26
A0A8H8QV95_Lachnellula	A0A8H8QV95	AFDB	87.21
A0A8H8RJD5_Lachnellula	A0A8H8RJD5	AFDB	87.33
A0A9N9YLT0_Clonostachys	A0A9N9YLT0	AFDB	87.88
A0A9P4X3G5_Trichoderma	A0A9P4X3G5	AFDB	88.14
A0A9P7IRT1_Fusarium	A0A9P7IRT1	AFDB	88.53
A0A9W9HNM9_Penicillium	A0A9W9HNM9	AFDB	87.29
A0A9W9JQ30_Penicillium	A0A9W9JQ30	AFDB	87.42
A0A9W9M2N2_Penicillium	A0A9W9M2N2	AFDB	87.0
A0A9W9PWX5_Penicillium	A0A9W9PWX5	AFDB	87.84
A0A9W9V6L1_Penicillium	A0A9W9V6L1	AFDB	88.12
A0A9X0BA58_Penicillium	A0A9X0BA58	AFDB	87.6
A0AAD6E3Q9_Penicillium	A0AAD6E3Q9	AFDB	87.99
A0AAD6IDC6_Penicillium	A0AAD6IDC6	AFDB	87.51
A0AAE1J0Y1_Trichoderma	A0AAE1J0Y1	AFDB	87.65
A0AAE8M1S2_Fusarium	A0AAE8M1S2	AFDB	87.77
A0AAI9UII0_Colletotrichum	A0AAI9UII0	AFDB	88.59
A0AAJ0E579_Colletotrichum	A0AAJ0E579	AFDB	88.35
A0AAN5Z088_Fusarium	A0AAN5Z088	AFDB	87.61
A0AAN6NX75_Pseudoneurospora	A0AAN6NX75	AFDB	86.63
A0AAN7BLM5_Podospora	A0AAN7BLM5	AFDB	89.11
A0AAV5QX45_Pichia	A0AAV5QX45	AFDB	89.77
A0AAV5RMN1_Starmerella	A0AAV5RMN1	AFDB	86.56
A0AAV9HLS5_Cladorrhinum	A0AAV9HLS5	AFDB	89.17
A0AAV9UWK0_Orbilia	A0AAV9UWK0	AFDB	87.2
A0AAW0R3B8_Apiospora	A0AAW0R3B8	AFDB	79.54
A0AAX4HB97_Australozyma	A0AAX4HB97	AFDB	87.22
A0ABN8VEY2_Saccharomyces	A0ABN8VEY2	AF2_ColabFold	86.13
A0ABN8WPA3_Saccharomyces	A0ABN8WPA3	AF2_ColabFold	86.4
A0ABP0EH01_Kurtzmaniella	A0ABP0EH01	AF2_ColabFold	89.08
A0ABP0ZHK7_Lodderomyces	A0ABP0ZHK7	AF2_ColabFold	86.92
A0ABQ0GRH5_Madurella	A0ABQ0GRH5	AF2_ColabFold	86.18
A0ABQ7RB90_Ogataea	A0ABQ7RB90	AF2_ColabFold	88.27
A0ABQ9PW01_Colletotrichum	A0ABQ9PW01	AF2_ColabFold	87.08
A0ABR1UF14_Apiospora	A0ABR1UF14	AF2_ColabFold	86.53
A0ABR4DNY3_Remersonia	A0ABR4DNY3	AF2_ColabFold	85.85
A0ABR4PIR0_Phlyctema	A0ABR4PIR0	AF2_ColabFold	88.03
A0ABZ2WRY7_Fusarium	A0ABZ2WRY7	AF2_ColabFold	85.22
A1DDJ4_Aspergillus	A1DDJ4	AFDB	86.99
A7TMC2_Vanderwaltozyma	A7TMC2	AFDB	89.75
C0NFA5_Histoplasma	C0NFA5	AFDB	89.22
C5FMN5_Microsporum	C5FMN5	AFDB	86.04
C5M8S6_Candida	C5M8S6	AFDB	90.4
E3S321_Pyrenophora	E3S321	AFDB	88.28
F2QT11_Komagataella	F2QT11	AFDB	89.77
G0V6X7_Naumovozyma	G0V6X7	AFDB	88.3
G8Y8Q1_Millerozyma	G8Y8Q1	AFDB	87.07
H0GH54_Saccharomyces	H0GH54	AFDB	87.86
H0GLS5_Saccharomyces	H0GLS5	AF2_ColabFold	85.96
H2AVD6_Kazachstania	H2AVD6	AFDB	88.64
J8PMR0_Saccharomyces	J8PMR0	AFDB	87.8
L8FZR6_Pseudogymnoascus	L8FZR6	AFDB	88.98
M3IP21_Candida	M3IP21	AFDB	86.73
Q6CWC6_Kluyveromyces	Q6CWC6	AFDB	87.4
R8BS17_Phaeoacremonium	R8BS17	AFDB	87.83
S8BV51_Dactylellina	S8BV51	AFDB	88.25
U4KVV4_Pyronema	U4KVV4	AFDB	87.97
V5FX47_Paecilomyces	V5FX47	AFDB	87.85
A0A179IKE1_Akanthomyces	A0A179IKE1	AFDB	88.65
A0A1B7YNX9_Colletotrichum	A0A1B7YNX9	AFDB	88.06
A0A1E1LUZ6_Rhynchosporium	A0A1E1LUZ6	AFDB	87.07
A0A1F5LX58_Penicillium	A0A1F5LX58	AFDB	87.78
A0A1G4JCZ1_Lachancea	A0A1G4JCZ1	AFDB	89.15
A0A1L7TYF3_Fusarium	A0A1L7TYF3	AFDB	87.67
A0A1L9RR32_Aspergillus	A0A1L9RR32	AFDB	87.85
A0A1Q5UPN3_Penicillium	A0A1Q5UPN3	AFDB	87.31
A0A1V6PDM4_Penicillium	A0A1V6PDM4	AFDB	87.33
A0A1V6U1M2_Penicillium	A0A1V6U1M2	AFDB	87.46
A0A1X7QZ68_Maudiozyma	A0A1X7QZ68	AFDB	87.51
A0A1Z5T0V7_Hortaea	A0A1Z5T0V7	AFDB	87.72
A0A225ACG2_Talaromyces	A0A225ACG2	AFDB	86.36
A0A2B7ZAZ8_Emergomyces	A0A2B7ZAZ8	AFDB	87.96
A0A2C5Z3Z6_Ophiocordyceps	A0A2C5Z3Z6	AFDB	88.12
A0A2L2TT35_Fusarium	A0A2L2TT35	AFDB	87.65
A0A2P4ZPZ5_Trichoderma	A0A2P4ZPZ5	AFDB	87.62
A0A2P5IG66_Diaporthe	A0A2P5IG66	AFDB	87.61
A0A2P7YYZ7_Candidozyma	A0A2P7YYZ7	AFDB	84.81
A0A395MU31_Fusarium	A0A395MU31	AFDB	88.93
A0A395SH18_Fusarium	A0A395SH18	AFDB	88.37
A0A3D8T9P5_Coleophoma	A0A3D8T9P5	AFDB	87.93
A0A420HI51_Golovinomyces	A0A420HI51	AFDB	87.63
A0A437A639_Arthrobotrys	A0A437A639	AFDB	87.79
A0A4T0X4S6_Pichia	A0A4T0X4S6	AFDB	87.59
A0A4U6XDE4_Colletotrichum	A0A4U6XDE4	AFDB	88.11
A0A545VF71_Cordyceps	A0A545VF71	AFDB	87.48
A0A553I2H5_Xylaria	A0A553I2H5	AF2_ColabFold	83.56
A0A642UC18_Diutina	A0A642UC18	AFDB	87.26
A0A6P8AS74_Pyricularia	A0A6P8AS74	AFDB	88.15
A0A7D9D0S1_Brettanomyces	A0A7D9D0S1	AFDB	86.85
A0A7D9H4X7_Brettanomyces	A0A7D9H4X7	AFDB	90.88
A0A7G3ZFX8_Torulaspora	A0A7G3ZFX8	AFDB	88.12
A0A7H9HQ67_Torulaspora	A0A7H9HQ67	AFDB	88.11
A0A8A3PQR8_Monilinia	A0A8A3PQR8	AFDB	87.93
A0A8E2ECP4_Lepidopterella	A0A8E2ECP4	AFDB	88.28
A0A8H2VG31_Maudiozyma	A0A8H2VG31	AFDB	87.02
A0A8H4M5R7_Aspergillus	A0A8H4M5R7	AFDB	88.05
A0A8H4RP39_Cudoniella	A0A8H4RP39	AFDB	87.74
A0A8H5K2L9_Fusarium	A0A8H5K2L9	AFDB	88.11
A0A8H5V246_Fusarium	A0A8H5V246	AFDB	88.31
A0A8H6DJK2_Fusarium	A0A8H6DJK2	AFDB	88.44
A0A8H6EMB0_Botrytis	A0A8H6EMB0	AFDB	87.2
A0A8H6MX16_Colletotrichum	A0A8H6MX16	AFDB	88.92
A0A8H6P867_Aspergillus	A0A8H6P867	AFDB	82.53
A0A8H7B4D1_Alternaria	A0A8H7B4D1	AFDB	88.58
A0A8H7MC09_Ascochyta	A0A8H7MC09	AFDB	88.23
A0A8J2N2S3_Alternaria	A0A8J2N2S3	AFDB	88.49
A0A9N8P4J7_Aureobasidium	A0A9N8P4J7	AFDB	82.01
A0A9N8PPA1_Aureobasidium	A0A9N8PPA1	AFDB	80.48
A0A9P5H1A3_Cylindrodendrum	A0A9P5H1A3	AFDB	87.17
A0A9P6I5L3_Colletotrichum	A0A9P6I5L3	AFDB	88.3
A0A9P7UDJ2_Colletotrichum	A0A9P7UDJ2	AFDB	88.62
A0A9P8KRB0_Trichoderma	A0A9P8KRB0	AFDB	87.64
A0A9P8PN42_Wickerhamomyces	A0A9P8PN42	AFDB	84.05
A0A9P8PWM7_Ogataea	A0A9P8PWM7	AFDB	90.11
A0A9P8Q2R3_Wickerhamomyces	A0A9P8Q2R3	AFDB	89.68
A0A9P8TBX6_Wickerhamomyces	A0A9P8TBX6	AFDB	91.32
A0A9P9XX88_Emericellopsis	A0A9P9XX88	AFDB	87.57
A0A9Q0AR35_Neoarthrinium	A0A9Q0AR35	AFDB	88.63
A0A9W4TRY8_Candida	A0A9W4TRY8	AFDB	90.73
A0A9W4TSQ7_Candida	A0A9W4TSQ7	AFDB	88.11
A0A9W6SUB1_Ogataea	A0A9W6SUB1	AFDB	88.84
A0A9W8NAJ3_Xylaria	A0A9W8NAJ3	AFDB	88.95
A0A9W9E386_Trichoderma	A0A9W9E386	AFDB	88.45
A0A9W9GHH5_Penicillium	A0A9W9GHH5	AFDB	87.58
A0A9W9KDN3_Penicillium	A0A9W9KDN3	AFDB	88.92
A0A9W9NF67_Penicillium	A0A9W9NF67	AFDB	87.11
A0A9W9PGZ8_Penicillium	A0A9W9PGZ8	AFDB	88.42
A0AA35M823_Clonostachys	A0AA35M823	AFDB	87.87
A0AA38R6I5_Pleurostoma	A0AA38R6I5	AFDB	87.44
A0AA39QRC0_Cladonia	A0AA39QRC0	AFDB	89.01
A0AA40CH22_Lasiodiplodia	A0AA40CH22	AFDB	88.72
A0AAD6BVQ3_Penicillium	A0AAD6BVQ3	AFDB	87.83
A0AAD9W185_Diaporthe	A0AAD9W185	AFDB	87.96
A0AAI8YTU8_Lecanosticta	A0AAI8YTU8	AFDB	89.11
A0AAI9SW46_Candida	A0AAI9SW46	AFDB	88.45
A0AAN6BNB4_Aspergillus	A0AAN6BNB4	AFDB	88.45
A0AAN6PR26_Parachaetomium	A0AAN6PR26	AFDB	83.72
A0AAV5RQD8_Maudiozyma	A0AAV5RQD8	AFDB	87.6
A0AAV5RS12_Starmerella	A0AAV5RS12	AFDB	86.39
A0AAV5S599_Maudiozyma	A0AAV5S599	AFDB	86.7
A0ABP0ZI86_Lodderomyces	A0ABP0ZI86	AF2_ColabFold	89.58
A0ABQ0CIR6_Epichloe	A0ABQ0CIR6	AF2_ColabFold	85.68
A0ABQ1A1P2_Aspergillus	A0ABQ1A1P2	AF2_ColabFold	86.96
A0ABR0H0U4_Podospora	A0ABR0H0U4	AF2_ColabFold	87.53
A0ABR1X8Q2_Apiospora	A0ABR1X8Q2	AF2_ColabFold	86.45
A0ABR2HLJ4_Apiospora	A0ABR2HLJ4	AF2_ColabFold	86.64
A0ABR2XV60_Seiridium	A0ABR2XV60	AF2_ColabFold	87.83
A0ABR3VRV6_Mycothermus	A0ABR3VRV6	AF2_ColabFold	84.75
A0ABR4DQT9_Diaporthe	A0ABR4DQT9	AF2_ColabFold	87.81
A1CBS2_Aspergillus	A1CBS2	AFDB	88.27
A5E709_Lodderomyces	A5E709	AFDB	89.1
A7TNQ0_Vanderwaltozyma	A7TNQ0	AFDB	87.09
B0Y232_Aspergillus	B0Y232	AFDB	87.25
B6HL55_Penicillium	B6HL55	AFDB	87.81
C1GVB7_Paracoccidioides	C1GVB7	AFDB	88.59
C4YMF4_Candida	C4YMF4	AFDB	87.58
C5DS62_Zygosaccharomyces	C5DS62	AFDB	87.66
E3Q2W0_Colletotrichum	E3Q2W0	AFDB	88.63
A0A074S981_Rhizoctonia	A0A074S981	AFDB	91.98
A0A081CCF7_Moesziomyces	A0A081CCF7	AFDB	90.34
A0A0B7FZH9_Rhizoctonia	A0A0B7FZH9	AFDB	90.98
A0A0B7G372_Rhizoctonia	A0A0B7G372	AFDB	88.19
A0A0D0VFI3_Cryptococcus	A0A0D0VFI3	AFDB	90.19
A0A0D6ENE9_Sporobolomyces	A0A0D6ENE9	AFDB	82.3
A0A0K3C6U0_Rhodotorula	A0A0K3C6U0	AFDB	89.81
A0A0K6FND2_Rhizoctonia	A0A0K6FND2	AFDB	82.42
A0A1B9GFU3_Kwoniella	A0A1B9GFU3	AFDB	90.77
A0A1Q3E2N1_Lentinula	A0A1Q3E2N1	AFDB	90.19
A0A2G8RUN7_Ganoderma	A0A2G8RUN7	AFDB	90.62
A0A2G8S4W6_Ganoderma	A0A2G8S4W6	AFDB	89.15
A0A369J1H4_Hypsizygus	A0A369J1H4	AFDB	90.68
A0A5B0MRD7_Puccinia	A0A5B0MRD7	AFDB	90.21
A0A5M3MBB2_Coniophora	A0A5M3MBB2	AFDB	87.04
A0A8H3TUW7_Naganishia	A0A8H3TUW7	AFDB	90.72
A0A8H3U0A2_Naganishia	A0A8H3U0A2	AFDB	87.1
A0A8H5CYE4_Tetrapyrgos	A0A8H5CYE4	AFDB	83.64
A0A8H5EYD2_Psilocybe	A0A8H5EYD2	AFDB	89.34
F7VS34_Sordaria	F7VS34	AFDB	86.19
G8BSI5_Tetrapisispora	G8BSI5	AFDB	87.18
H8XAL7_Candida	H8XAL7	AFDB	87.36
J3NIB7_Gaeumannomyces	J3NIB7	AFDB	89.32
K9GB17_Penicillium	K9GB17	AFDB	87.92
N1J746_Blumeria	N1J746	AFDB	88.17
Q6CQY1_Kluyveromyces	Q6CQY1	AFDB	86.9
Q756M1_Eremothecium	Q756M1	AFDB	88.76
Q7RXT1_Neurospora	Q7RXT1	AFDB	86.28
S0E8T2_Fusarium	S0E8T2	AFDB	87.16
S3DLT2_Glarea	S3DLT2	AFDB	86.88
W3WI34_Pestalotiopsis	W3WI34	AFDB	88.95
W6QMY6_Penicillium	W6QMY6	AFDB	88.64
A0A0B4FVA9_Metarhizium	A0A0B4FVA9	AFDB	87.18
A0A0P7BLB4_Neonectria	A0A0P7BLB4	AFDB	88.57
A0A0V1Q2Z0_Debaryomyces	A0A0V1Q2Z0	AFDB	86.22
A0A1L0BLG4_Sungouiella	A0A1L0BLG4	AFDB	86.89
A0A1U7LSY4_Neolecta	A0A1U7LSY4	AF2_ColabFold	83.1
A0A2P5HGU5_Diaporthe	A0A2P5HGU5	AFDB	88.22
A0A2T0FMF4_Wickerhamiella	A0A2T0FMF4	AFDB	87.53
A0A2U9QZ99_Pichia	A0A2U9QZ99	AFDB	87.45
A0A376BAK2_Saccharomycodes	A0A376BAK2	AFDB	87.5
A0A395J7K7_Monilinia	A0A395J7K7	AFDB	86.64
A0A3E2GT96_Scytalidium	A0A3E2GT96	AFDB	86.9
A0A3N4JMV7_Choiromyces	A0A3N4JMV7	AFDB	90.06
A0A559MKX1_Lachnellula	A0A559MKX1	AFDB	87.11
A0A5E8BI10_Magnusiomyces	A0A5E8BI10	AFDB	84.85
A0A642UMB7_Diutina	A0A642UMB7	AFDB	90.35
A0A642V5E7_Trichomonascus	A0A642V5E7	AFDB	88.13
A0A7H9HUR2_Torulaspora	A0A7H9HUR2	AFDB	87.66
A0A8H4CLQ5_Colletotrichum	A0A8H4CLQ5	AFDB	88.79
A0A8H4T4I9_Fusarium	A0A8H4T4I9	AFDB	86.8
A0A8H5WXE6_Fusarium	A0A8H5WXE6	AFDB	86.68
A0A9N9W2U8_Clonostachys	A0A9N9W2U8	AFDB	87.84
A0A9P5HJJ0_Cylindrodendrum	A0A9P5HJJ0	AFDB	83.17
A0A9P8F6U8_Aureobasidium	A0A9P8F6U8	AFDB	89.14
A0A9W4RWK1_Colletotrichum	A0A9W4RWK1	AFDB	88.89
A0AA35JJF7_Saccharomyces	A0AA35JJF7	AF2_ColabFold	88.09
A0AAD9SP23_Diaporthe	A0AAD9SP23	AFDB	89.69
A0ABR1QZN4_Apiospora	A0ABR1QZN4	AF2_ColabFold	88.16
A0ABR1X8H1_Apiospora	A0ABR1X8H1	AF2_ColabFold	87.26
A0ABY2H3J9_Trichoderma	A0ABY2H3J9	AF2_ColabFold	87.23
A0ACA9TUV3_Clonostachys	A0ACA9TUV3	AF2_ColabFold	86.69
A0ACA9Y7U7_Yamadazyma	A0ACA9Y7U7	AF2_ColabFold	85.2
A0ACA9YCX0_Yamadazyma	A0ACA9YCX0	AF2_ColabFold	88.27
A0ACB5SA82_Neofusicoccum	A0ACB5SA82	AF2_ColabFold	87.66
A0ACB6V604_Geotrichum	A0ACB6V604	AF2_ColabFold	81.73
A0ACB6V835_Geotrichum	A0ACB6V835	AF2_ColabFold	86.6
A0ACC0QR54_Fusarium	A0ACC0QR54	AF2_ColabFold	85.22
A0ACC1N0K5_Zarea	A0ACC1N0K5	AF2_ColabFold	85.61
A0ACC1PT71_Xylaria	A0ACC1PT71	AF2_ColabFold	81.37
A0ACC1RAE9_Lecanicillium	A0ACC1RAE9	AF2_ColabFold	85.88
A0ACC1RL04_Fusarium	A0ACC1RL04	AF2_ColabFold	80.38
A0ACC2HQW4_Boeremia	A0ACC2HQW4	AF2_ColabFold	86.29
A0ACC3TRB3_Lipomyces	A0ACC3TRB3	AF2_ColabFold	87.16
A0ACC3YGM8_Colletotrichum	A0ACC3YGM8	AF2_ColabFold	87.37
A0ACD3Z1H8_Fusarium	A0ACD3Z1H8	AF2_ColabFold	85.84
J6EEG6_Saccharomyces	J6EEG6	AFDB	88.24
M3JT10_Candida	M3JT10	AFDB	91.52
A0A0V1Q0J3_Debaryomyces	A0A0V1Q0J3	AFDB	89.61
A0A1D8PRM6_Candida	A0A1D8PRM6	AFDB	90.62
A0A1G4KQ33_Komagataella	A0A1G4KQ33	AFDB	89.7
A0A2V1AIT0_Candidozyma	A0A2V1AIT0	AF2_ColabFold	72.81
A0A8H8D8N2_Candida	A0A8H8D8N2	AFDB	90.38
A0A8J5QH60_Spathaspora	A0A8J5QH60	AF2_ColabFold	88.63
A0A9P8P3R0_Ogataea	A0A9P8P3R0	AFDB	91.15
A0A9P8T4U6_Ogataea	A0A9P8T4U6	AFDB	90.98
A0AAD5BCG9_Candida	A0AAD5BCG9	AFDB	90.57
A0ABQ7RA53_Ogataea	A0ABQ7RA53	AF2_ColabFold	89.21
A0ABQ7S1B0_Ogataea	A0ABQ7S1B0	AF2_ColabFold	89.95
A5DRR3_Lodderomyces	A5DRR3	AFDB	88.53
B9WKK1_Candida	B9WKK1	AFDB	89.53
C4R014_Komagataella	C4R014	AFDB	90.2
C4Y757_Clavispora	C4Y757	AFDB	89.77
C4YNB1_Candida	C4YNB1	AFDB	89.94
G8BBJ1_Candida	G8BBJ1	AFDB	89.42
G8YJN4_Millerozyma	G8YJN4	AFDB	90.04
H8WVI4_Candida	H8WVI4	AFDB	89.34
K0KZ61_Wickerhamomyces	K0KZ61	AFDB	89.89
Q6BNW6_Debaryomyces	Q6BNW6	AFDB	89.21
W1QFA7_Ogataea	W1QFA7	AFDB	91.13
A0A060SM94_Trametes	A0A060SM94	AFDB	91.43
A0A074S1G0_Rhizoctonia	A0A074S1G0	AFDB	87.1
A0A0D1DZD7_Mycosarcoma	A0A0D1DZD7	AFDB	90.74
A0A0K6G7K7_Rhizoctonia	A0A0K6G7K7	AFDB	91.67
A0A0L6V131_Puccinia	A0A0L6V131	AFDB	91.05
A0A0P1BIQ6_Ceraceosorus	A0A0P1BIQ6	AFDB	89.0
A0A1B9FTK0_Kwoniella	A0A1B9FTK0	AFDB	85.49
A0A1B9HTQ2_Kwoniella	A0A1B9HTQ2	AFDB	90.7
A0A1C7MA88_Grifola	A0A1C7MA88	AFDB	92.09
A0A1E3HRY9_Cryptococcus	A0A1E3HRY9	AFDB	91.39
A0A1K0G3T0_Ustilago	A0A1K0G3T0	AFDB	90.2
A0A1M2VF04_Trametes	A0A1M2VF04	AFDB	88.24
A0A1Q3EGR3_Lentinula	A0A1Q3EGR3	AFDB	89.01
A0A238F8L5_Microbotryum	A0A238F8L5	AFDB	89.27
A0A284R575_Armillaria	A0A284R575	AFDB	90.79
A0A2R6NMH7_Hermanssonia	A0A2R6NMH7	AFDB	89.22
A0A2R6NTT4_Hermanssonia	A0A2R6NTT4	AFDB	88.38
A0A2S5BEQ4_Rhodotorula	A0A2S5BEQ4	AFDB	86.07
A0A2X0KA56_Microbotryum	A0A2X0KA56	AFDB	89.16
A0A2X0LW32_Microbotryum	A0A2X0LW32	AFDB	80.34
A0A409W7F6_Gymnopilus	A0A409W7F6	AFDB	89.34
A0A4Q1BV97_Tremella	A0A4Q1BV97	AFDB	90.67
A0A4S4KLM9_Hermanssonia	A0A4S4KLM9	AFDB	89.49
A0A4S4LSC0_Bondarzewia	A0A4S4LSC0	AFDB	84.67
A0A4S4MT59_Antrodiella	A0A4S4MT59	AFDB	89.87
A0A4T0FNF2_Wallemia	A0A4T0FNF2	AFDB	91.09
A0A4Y9YC71_Dentipellis	A0A4Y9YC71	AFDB	91.32
A0A4Y9YGX5_Dentipellis	A0A4Y9YGX5	AFDB	79.68
A0A5B0N1Q3_Puccinia	A0A5B0N1Q3	AFDB	89.5
A0A5C3E4B2_Ustilago	A0A5C3E4B2	AFDB	90.36
A0A5C3E832_Ustilago	A0A5C3E832	AFDB	90.75
A0A5C3FLB2_Moesziomyces	A0A5C3FLB2	AFDB	90.61
A0A5M6C3F7_Kwoniella	A0A5M6C3F7	AFDB	89.43
A0A5N5QIE1_Ceratobasidium	A0A5N5QIE1	AF2_ColabFold	66.59
A0A5N5QIV7_Ceratobasidium	A0A5N5QIV7	AF2_ColabFold	89.34
A0A5N5QSQ7_Ceratobasidium	A0A5N5QSQ7	AFDB	89.86
A0A8H5D9L0_Leucocoprinus	A0A8H5D9L0	AFDB	89.85
A0A8H5FIS4_Ephemerocybe	A0A8H5FIS4	AFDB	89.54
A0A8H5H1J4_Tetrapyrgos	A0A8H5H1J4	AFDB	70.97
A0A8H5HHS9_Tricholomella	A0A8H5HHS9	AFDB	86.32
A0A8H5HYM6_Collybiopsis	A0A8H5HYM6	AFDB	89.62
A0A8H5LZH5_Tetrapyrgos	A0A8H5LZH5	AFDB	87.81
A0A8H5M8P6_Collybiopsis	A0A8H5M8P6	AFDB	81.76
A0A8H6X7X8_Mycena	A0A8H6X7X8	AFDB	80.24
A0A8H7CZF7_Mycena	A0A8H7CZF7	AFDB	91.4
A0A8X7NC76_Tilletia	A0A8X7NC76	AFDB	91.19
A0A8X7SWK2_Tilletia	A0A8X7SWK2	AFDB	91.36
A0A9N8MAE1_Tilletia	A0A9N8MAE1	AFDB	91.11
A0A9P3G2I0_Phanerochaete	A0A9P3G2I0	AFDB	86.0
A0A9P3G4R7_Phanerochaete	A0A9P3G4R7	AFDB	81.38
A0A9P3G5D9_Phanerochaete	A0A9P3G5D9	AFDB	89.15
A0A9P3G9Z6_Phanerochaete	A0A9P3G9Z6	AFDB	90.79
A0A9P3GEL8_Phanerochaete	A0A9P3GEL8	AFDB	88.79
A0A9P3UJ47_Lyophyllum	A0A9P3UJ47	AFDB	87.84
A0A9Q3CGN2_Austropuccinia	A0A9Q3CGN2	AFDB	89.71
A0A9Q3DCC3_Austropuccinia	A0A9Q3DCC3	AFDB	90.71
A0AA38HDX6_Dioszegia	A0AA38HDX6	AFDB	90.32
A0AA48QVP0_Cutaneotrichosporon	A0AA48QVP0	AFDB	90.36
A0AAD3TY69_Cutaneotrichosporon	A0AAD3TY69	AFDB	90.77
A0AAD5VW10_Leucocoprinus	A0AAD5VW10	AFDB	83.23
