accession,gene,organism,taxid,subphylum,class,order,family,genus,length,reviewed,structure_source,afdb_version,mean_plddt,is_reference_proteome,structure_path,paralog_label
A0A9W8N7W2,PIF1,Xylaria arbuscula,114810,Pezizomycotina,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,742,unreviewed,AFDB,6,66.12,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A9W8N7W2-F1-model_v6.cif,
A0A9W9FVK9,PIF1,Penicillium angulare,116970,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,732,unreviewed,AFDB,6,66.56,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A9W9FVK9-F1-model_v6.cif,
A0A9W9KB48,PIF1,Penicillium argentinense,1131581,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,733,unreviewed,AFDB,6,66.19,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A9W9KB48-F1-model_v6.cif,
A0A9W9TVT2,PIF1,Penicillium citrinum,5077,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,704,unreviewed,AFDB,6,66.31,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A9W9TVT2-F1-model_v6.cif,
A0A9W9WZB3,PIF1,Penicillium desertorum,1303715,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,763,unreviewed,AFDB,6,64.75,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A9W9WZB3-F1-model_v6.cif,
A0A9W9XDN3,PIF1,Penicillium diatomitis,2819901,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,657,unreviewed,AFDB,6,65.5,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A9W9XDN3-F1-model_v6.cif,
A0AA35IR82,SMKI13G0710,Saccharomyces mikatae IFO 1815,226126,Saccharomycotina,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,859,unreviewed,AFDB,6,65.31,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0AA35IR82-F1-model_v6.cif,
A0AA35J0E4,SMKI08G0740,Saccharomyces mikatae IFO 1815,226126,Saccharomycotina,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,723,unreviewed,AFDB,6,69.12,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0AA35J0E4-F1-model_v6.cif,
A0AAD4IFY3,PIF1,Alternaria panax,48097,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,783,unreviewed,AFDB,6,64.19,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0AAD4IFY3-F1-model_v6.cif,
A0AAD5BBM1,PIF1,Candida theae,1198502,Saccharomycotina,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,892,unreviewed,AFDB,6,57.81,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0AAD5BBM1-F1-model_v6.cif,
A0AAD6GIB4,PIF1,Penicillium frequentans,3151616,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,768,unreviewed,AFDB,6,62.5,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0AAD6GIB4-F1-model_v6.cif,
A0AAD9AKZ3,PIF1,Colletotrichum chrysophilum,1836956,Pezizomycotina,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,897,unreviewed,AFDB,6,60.81,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0AAD9AKZ3-F1-model_v6.cif,
A0AAD9Y213,PIF1,Colletotrichum kahawae (Coffee berry disease fungus),34407,Pezizomycotina,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,886,unreviewed,AFDB,6,60.81,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0AAD9Y213-F1-model_v6.cif,
A0AAE9W8S9,pfh1,Schizosaccharomyces osmophilus,2545709,Taphrinomycotina,Schizosaccharomycetes,Schizosaccharomycetales,Schizosaccharomycetaceae,Schizosaccharomyces,788,unreviewed,AFDB,6,61.88,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0AAE9W8S9-F1-model_v6.cif,
A0AAI9TIH2,PIF1,Penicillium thymicola,293382,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,681,unreviewed,AFDB,6,67.94,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0AAI9TIH2-F1-model_v6.cif,
A0AAV5QDJ4,PIF1,Saccharomycopsis crataegensis,43959,Saccharomycotina,Saccharomycetes,Ascoideales,Saccharomycopsidaceae,Saccharomycopsis,682,unreviewed,AFDB,6,71.38,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0AAV5QDJ4-F1-model_v6.cif,
A0AAV5QKF6,PIF1,Saccharomycopsis crataegensis,43959,Saccharomycotina,Saccharomycetes,Ascoideales,Saccharomycopsidaceae,Saccharomycopsis,985,unreviewed,AFDB,6,58.72,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0AAV5QKF6-F1-model_v6.cif,
A0AAX4HF17,PIF1,Australozyma saopauloensis,291208,Saccharomycotina,Pichiomycetes,Serinales,Metschnikowiaceae,Australozyma,674,unreviewed,AFDB,6,70.88,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0AAX4HF17-F1-model_v6.cif,
A0AB34G0U3,PIF1,Purpureocillium lavendulum,1247861,Pezizomycotina,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Purpureocillium,1502,unreviewed,MISSING_predict_with_AF3,,,,,
A0ABP2EZZ6,PIF1,Ajellomyces dermatitidis (strain ER-3 / ATCC MYA-2586) (Blastomyces dermatitidis),559297,Pezizomycotina,Eurotiomycetes,Onygenales,Ajellomycetaceae,Blastomyces,798,unreviewed,MISSING_predict_with_AF3,,,,,
A0ABQ7RSC4,PIF1,Pichia angusta (Yeast) (Hansenula polymorpha),870730,Saccharomycotina,Pichiomycetes,Pichiales,Pichiaceae,Ogataea,825,unreviewed,MISSING_predict_with_AF3,,,,,
A0ABQ9SFB4,PIF1,Colletotrichum paranaense,1914294,Pezizomycotina,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,834,unreviewed,MISSING_predict_with_AF3,,,,,
A0ABR0HK82,PIF1,Podospora pseudoanserina,2609844,Pezizomycotina,Sordariomycetes,Sordariales,Podosporaceae,Podospora,895,unreviewed,MISSING_predict_with_AF3,,,,,
A0ABR0TKY5,PIF1,Aureobasidium pullulans (Black yeast) (Pullularia pullulans),5580,Pezizomycotina,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,933,unreviewed,MISSING_predict_with_AF3,,,,,
A0ABR1PTT1,PIF1,Apiospora aurea,335848,Pezizomycotina,Sordariomycetes,Amphisphaeriales,Apiosporaceae,Apiospora,877,unreviewed,MISSING_predict_with_AF3,,,,,
A0ABR1RLE4,PIF1,Apiospora marii,335849,Pezizomycotina,Sordariomycetes,Amphisphaeriales,Apiosporaceae,Apiospora,817,unreviewed,MISSING_predict_with_AF3,,,,,
A0ABR1VZW9,PIF1,Apiospora phragmitis,2905665,Pezizomycotina,Sordariomycetes,Amphisphaeriales,Apiosporaceae,Apiospora,772,unreviewed,MISSING_predict_with_AF3,,,,,
A0ABR3DMS4,PIF1,Neurospora intermedia,5142,Pezizomycotina,Sordariomycetes,Sordariales,Sordariaceae,Neurospora,928,unreviewed,MISSING_predict_with_AF3,,,,,
A0ABR3Y3X8,PIF1,Phialemonium thermophilum,223376,Pezizomycotina,Sordariomycetes,Cephalothecales,Cephalothecaceae,Phialemonium,805,unreviewed,MISSING_predict_with_AF3,,,,,
A0ABR4P0R8,RRM3,Nakaseomyces bracarensis,273131,Saccharomycotina,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,692,unreviewed,MISSING_predict_with_AF3,,,,,
A0ABX6EXJ8,PIF1,Kluyveromyces marxianus (Yeast) (Candida kefyr),4911,Saccharomycotina,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kluyveromyces,852,unreviewed,MISSING_predict_with_AF3,,,,,
A0ABX6F0Q7,RRM3,Kluyveromyces marxianus (Yeast) (Candida kefyr),4911,Saccharomycotina,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kluyveromyces,703,unreviewed,MISSING_predict_with_AF3,,,,,
A0ABX8I2X5,PIF1,Candidozyma haemuli,45357,Saccharomycotina,Pichiomycetes,Serinales,Metschnikowiaceae,Candidozyma,2755,unreviewed,MISSING_predict_with_AF3,,,,,
A0ABX8I4W3,PIF1,Candidozyma haemuli,45357,Saccharomycotina,Pichiomycetes,Serinales,Metschnikowiaceae,Candidozyma,791,unreviewed,MISSING_predict_with_AF3,,,,,
A2R3M6,PIF1,Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513),425011,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,800,unreviewed,AFDB,6,64.44,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A2R3M6-F1-model_v6.cif,
C4JUZ0,PIF1,Uncinocarpus reesii (strain UAMH 1704) (Gymnoascus siglerae),336963,Pezizomycotina,Eurotiomycetes,Onygenales,Onygenaceae,Uncinocarpus,1465,unreviewed,MISSING_predict_with_AF3,,,,,
D4B4E8,PIF1,Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes),663331,Pezizomycotina,Eurotiomycetes,Onygenales,Arthrodermataceae,Trichophyton,780,unreviewed,AFDB,6,61.75,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-D4B4E8-F1-model_v6.cif,
D4DAK6,PIF1,Trichophyton verrucosum (strain HKI 0517),663202,Pezizomycotina,Eurotiomycetes,Onygenales,Arthrodermataceae,Trichophyton,780,unreviewed,AFDB,6,61.44,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-D4DAK6-F1-model_v6.cif,
F2PR25,PIF1,Trichophyton equinum (strain ATCC MYA-4606 / CBS 127.97) (Horse ringworm fungus),559882,Pezizomycotina,Eurotiomycetes,Onygenales,Arthrodermataceae,Trichophyton,794,unreviewed,AFDB,6,62.03,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-F2PR25-F1-model_v6.cif,
F2S1K4,PIF1,Trichophyton tonsurans (strain CBS 112818) (Scalp ringworm fungus),647933,Pezizomycotina,Eurotiomycetes,Onygenales,Arthrodermataceae,Trichophyton,753,unreviewed,AFDB,6,59.97,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-F2S1K4-F1-model_v6.cif,
G0S6L7,PIF1,Thermochaetoides thermophila (strain DSM 1495 / CBS 144.50 / DAOM 24625 / IMI 039719) (Chaetomium thermophilum),759272,Pezizomycotina,Sordariomycetes,Sordariales,Chaetomiaceae,Thermochaetoides,809,unreviewed,AFDB,6,63.25,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-G0S6L7-F1-model_v6.cif,
G1WZ06,PIF1,Arthrobotrys oligospora (strain ATCC 24927 / CBS 115.81 / DSM 1491) (Nematode-trapping fungus) (Didymozoophaga oligospora),756982,Pezizomycotina,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,947,unreviewed,AFDB,6,58.72,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-G1WZ06-F1-model_v6.cif,
I2H165,TBLA0C03130,Henningerozyma blattae (strain ATCC 34711 / CBS 6284 / DSM 70876 / NBRC 10599 / NRRL Y-10934 / UCD 77-7) (Yeast) (Tetrapisispora blattae),1071380,Saccharomycotina,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Henningerozyma,717,unreviewed,AFDB,6,67.31,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-I2H165-F1-model_v6.cif,
K0KM86,PIF1,Wickerhamomyces ciferrii (strain ATCC 14091 / BCRC 22168 / CBS 111 / JCM 3599 / NBRC 0793 / NRRL Y-1031 F-60-10) (Yeast) (Pichia ciferrii),1206466,Saccharomycotina,Saccharomycetes,Phaffomycetales,Wickerhamomycetaceae,Wickerhamomyces,1022,unreviewed,AFDB,6,59.44,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-K0KM86-F1-model_v6.cif,
K3UQF6,PIF1,Fusarium pseudograminearum (strain CS3096) (Wheat and barley crown-rot fungus),1028729,Pezizomycotina,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,821,unreviewed,AFDB,6,61.56,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-K3UQF6-F1-model_v6.cif,
N1RU73,PIF1,Fusarium oxysporum f. sp. cubense (strain race 4) (Panama disease fungus),2502994,Pezizomycotina,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,820,unreviewed,AFDB,6,62.28,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-N1RU73-F1-model_v6.cif,
R4XBB5,PIF1,Taphrina deformans (strain PYCC 5710 / ATCC 11124 / CBS 356.35 / IMI 108563 / JCM 9778 / NBRC 8474) (Peach leaf curl fungus) (Lalaria deformans),1097556,Taphrinomycotina,Taphrinomycetes,Taphrinales,Taphrinaceae,Taphrina,821,unreviewed,AFDB,6,62.31,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-R4XBB5-F1-model_v6.cif,
S7ZUF7,PIF1,Penicillium oxalicum (strain 114-2 / CGMCC 5302) (Penicillium decumbens),933388,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,727,unreviewed,AFDB,6,66.94,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-S7ZUF7-F1-model_v6.cif,
U1GI40,PIF1,Endocarpon pusillum (strain Z07020 / HMAS-L-300199) (Lichen-forming fungus),1263415,Pezizomycotina,Eurotiomycetes,Verrucariales,Verrucariaceae,Endocarpon,732,unreviewed,AFDB,6,66.81,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-U1GI40-F1-model_v6.cif,
W6MM08,PIF1,Kuraishia capsulata CBS 1993,1382522,Saccharomycotina,Pichiomycetes,Pichiales,Pichiaceae,Kuraishia,693,unreviewed,AFDB,6,70.88,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-W6MM08-F1-model_v6.cif,
W7HWQ6,PIF1,Drechslerella stenobrocha 248,1043628,Pezizomycotina,Orbiliomycetes,Orbiliales,Orbiliaceae,Drechslerella,694,unreviewed,AFDB,6,68.94,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-W7HWQ6-F1-model_v6.cif,
A0A022Y865,PIF1,Trichophyton soudanense CBS 452.61,1215331,Pezizomycotina,Eurotiomycetes,Onygenales,Arthrodermataceae,Trichophyton,780,unreviewed,AFDB,6,61.03,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A022Y865-F1-model_v6.cif,
A0A0A1TS53,PIF1,[Torrubiella] hemipterigena,1531966,Pezizomycotina,Sordariomycetes,Hypocreales,Clavicipitaceae,,844,unreviewed,AFDB,6,61.28,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A0A1TS53-F1-model_v6.cif,
A0A0D2H657,PIF1,Fonsecaea pedrosoi CBS 271.37,1442368,Pezizomycotina,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Fonsecaea,764,unreviewed,AFDB,6,68.31,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A0D2H657-F1-model_v6.cif,
A0A0H1B6P3,PIF1,Blastomyces silverae,2060906,Pezizomycotina,Eurotiomycetes,Onygenales,Ajellomycetaceae,Blastomyces,798,unreviewed,AFDB,6,63.09,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A0H1B6P3-F1-model_v6.cif,
A0A0L0NDI1,PIF1,Tolypocladium ophioglossoides (strain CBS 100239) (Snaketongue truffleclub) (Elaphocordyceps ophioglossoides),1163406,Pezizomycotina,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Tolypocladium,860,unreviewed,AFDB,6,60.53,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A0L0NDI1-F1-model_v6.cif,
A0A0M8P8W8,PIF1,Penicillium nordicum,229535,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,682,unreviewed,AFDB,6,68.19,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A0M8P8W8-F1-model_v6.cif,
A0A0P1KKU7,PIF1,Lachancea quebecensis,1654605,Saccharomycotina,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Lachancea,899,unreviewed,AFDB,6,61.78,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A0P1KKU7-F1-model_v6.cif,
A0A135TU94,PIF1,Colletotrichum nymphaeae SA-01,1460502,Pezizomycotina,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,834,unreviewed,AFDB,6,62.94,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A135TU94-F1-model_v6.cif,
A0A168CGZ8,PIF1,Cordyceps fumosorosea (strain ARSEF 2679) (Isaria fumosorosea),1081104,Pezizomycotina,Sordariomycetes,Hypocreales,Cordycipitaceae,Cordyceps,804,unreviewed,AFDB,6,62.06,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A168CGZ8-F1-model_v6.cif,
A0A168ISU5,PIF1,Akanthomyces lecanii RCEF 1005,1081108,Pezizomycotina,Sordariomycetes,Hypocreales,Cordycipitaceae,Akanthomyces,803,unreviewed,AFDB,6,62.0,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A168ISU5-F1-model_v6.cif,
A0A177FGZ4,PIF1,Fonsecaea monophora,254056,Pezizomycotina,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Fonsecaea,764,unreviewed,AFDB,6,66.25,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A177FGZ4-F1-model_v6.cif,
A0A1B8AKF1,PIF1,Fusarium poae,36050,Pezizomycotina,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,819,unreviewed,AFDB,6,61.97,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A1B8AKF1-F1-model_v6.cif,
A0A1E1KSW3,PIF1,Rhynchosporium agropyri,914238,Pezizomycotina,Leotiomycetes,Helotiales,Ploettnerulaceae,Rhynchosporium,899,unreviewed,AFDB,6,60.72,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A1E1KSW3-F1-model_v6.cif,
A0A1W2TKN4,PIF1,Rosellinia necatrix (White root-rot fungus),77044,Pezizomycotina,Sordariomycetes,Xylariales,Xylariaceae,Rosellinia,796,unreviewed,AFDB,6,63.22,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A1W2TKN4-F1-model_v6.cif,
A0A1Z5T4Y1,PIF1,Hortaea werneckii EXF-2000,1157616,Pezizomycotina,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Hortaea,912,unreviewed,AFDB,6,60.66,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A1Z5T4Y1-F1-model_v6.cif,
A0A2B7X4F7,PIF1,Blastomyces parvus,2060905,Pezizomycotina,Eurotiomycetes,Onygenales,Ajellomycetaceae,Blastomyces,798,unreviewed,AFDB,6,63.22,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A2B7X4F7-F1-model_v6.cif,
A0A2H0ZLB1,PIF1,Candidozyma auris (Yeast) (Candida auris),498019,Saccharomycotina,Pichiomycetes,Serinales,Metschnikowiaceae,Candidozyma,780,unreviewed,AFDB,6,66.19,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A2H0ZLB1-F1-model_v6.cif,
A0A2H2ZNG2,PIF1,Trichoderma parareesei (Filamentous fungus),858221,Pezizomycotina,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,855,unreviewed,AFDB,6,61.03,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A2H2ZNG2-F1-model_v6.cif,
A0A2N3NCB3,PIF1,Lomentospora prolificans,41688,Pezizomycotina,Sordariomycetes,Microascales,Microascaceae,Lomentospora,1670,unreviewed,MISSING_predict_with_AF3,,,,,
A0A2P7Z3W1,PIF1,Elsinoe australis,40998,Pezizomycotina,Dothideomycetes,Myriangiales,Elsinoaceae,Elsinoe,844,unreviewed,AFDB,6,63.16,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A2P7Z3W1-F1-model_v6.cif,
A0A366QY50,PIF1,Fusarium coffeatum,231269,Pezizomycotina,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,819,unreviewed,AFDB,6,62.31,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A366QY50-F1-model_v6.cif,
A0A376BA80,PIF1,Saccharomycodes ludwigii,36035,Saccharomycotina,Saccharomycetes,Saccharomycodales,Saccharomycodaceae,Saccharomycodes,763,unreviewed,AFDB,6,68.0,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A376BA80-F1-model_v6.cif,
A0A395SEG8,PIF1,Fusarium sporotrichioides,5514,Pezizomycotina,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,822,unreviewed,AFDB,6,61.34,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A395SEG8-F1-model_v6.cif,
A0A3A2ZL16,PIF1,Aspergillus sclerotialis,2070753,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,746,unreviewed,AFDB,6,66.44,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A3A2ZL16-F1-model_v6.cif,
A0A3D8SQV1,PIF1,Coleophoma cylindrospora,1849047,Pezizomycotina,Leotiomycetes,Helotiales,Dermateaceae,Coleophoma,870,unreviewed,AFDB,6,62.59,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A3D8SQV1-F1-model_v6.cif,
A0A420HWK8,PIF1,Erysiphe neolycopersici,212602,Pezizomycotina,Leotiomycetes,Erysiphales,Erysiphaceae,Erysiphe,885,unreviewed,AFDB,6,60.44,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A420HWK8-F1-model_v6.cif,
A0A484FKH5,pif1-1,Colletotrichum orbiculare (strain 104-T / ATCC 96160 / CBS 514.97 / LARS 414 / MAFF 240422) (Cucumber anthracnose fungus) (Colletotrichum lagenarium),1213857,Pezizomycotina,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,1117,unreviewed,AFDB,6,61.59,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A484FKH5-F1-model_v6.cif,
A0A4Q4P3R5,PIF1,Alternaria tenuissima,119927,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,782,unreviewed,AFDB,6,64.88,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A4Q4P3R5-F1-model_v6.cif,
A0A4Z1FQZ2,PIF1,Botrytis paeoniae,278948,Pezizomycotina,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,907,unreviewed,AFDB,6,60.94,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A4Z1FQZ2-F1-model_v6.cif,
A0A4Z1H1E5,PIF1,Botrytis hyacinthi,278943,Pezizomycotina,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,910,unreviewed,AFDB,6,60.47,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A4Z1H1E5-F1-model_v6.cif,
A0A4Z1I5K8,PIF1,Botryotinia convoluta,54673,Pezizomycotina,Leotiomycetes,Helotiales,Sclerotiniaceae,Botryotinia,910,unreviewed,AFDB,6,60.09,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A4Z1I5K8-F1-model_v6.cif,
A0A4Z1JM45,PIF1,Botrytis elliptica,278938,Pezizomycotina,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,911,unreviewed,AFDB,6,60.47,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A4Z1JM45-F1-model_v6.cif,
A0A4Z1NVH7,PIF1,Venturia nashicola,86259,Pezizomycotina,Dothideomycetes,Venturiales,Venturiaceae,Venturia,1004,unreviewed,AFDB,6,57.75,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A4Z1NVH7-F1-model_v6.cif,
A0A5E8B6K8,PIF1,Magnusiomyces paraingens,2606893,Saccharomycotina,Dipodascomycetes,Dipodascales,Dipodascaceae,Magnusiomyces,647,unreviewed,AFDB,6,73.38,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A5E8B6K8-F1-model_v6.cif,
A0A5N6K1H9,PIF1,Monilinia laxa (Brown rot fungus) (Sclerotinia laxa),61186,Pezizomycotina,Leotiomycetes,Helotiales,Sclerotiniaceae,Monilinia,903,unreviewed,AFDB,6,60.66,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A5N6K1H9-F1-model_v6.cif,
A0A642UJS9,PIF1,Trichomonascus ciferrii,44093,Saccharomycotina,Dipodascomycetes,Dipodascales,Trichomonascaceae,Trichomonascus,853,unreviewed,AFDB,6,59.59,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A642UJS9-F1-model_v6.cif,
A0A7C8MWI0,PIF1,Xylaria multiplex,323545,Pezizomycotina,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,628,unreviewed,AFDB,6,72.25,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A7C8MWI0-F1-model_v6.cif,
A0A7G3ZIW5,RRM3,Torulaspora globosa,48254,Saccharomycotina,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Torulaspora,677,unreviewed,AFDB,6,70.94,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A7G3ZIW5-F1-model_v6.cif,
A0A7U2QU03,PIF1,Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167),332952,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,754,unreviewed,AFDB,6,65.56,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A7U2QU03-F1-model_v6.cif,
A0A8H2ZM85,PIF1,Sclerotinia trifoliorum,28548,Pezizomycotina,Leotiomycetes,Helotiales,Sclerotiniaceae,Sclerotinia,906,unreviewed,AFDB,6,60.84,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A8H2ZM85-F1-model_v6.cif,
A0A8H4Q9J7,PIF1,Ophiocordyceps camponoti-floridani,2030778,Pezizomycotina,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Ophiocordyceps,795,unreviewed,AFDB,6,62.28,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A8H4Q9J7-F1-model_v6.cif,
